epoch,train_loss,val_accuracy,lr
1,0.652894,0.482872,0.001000
2,0.603777,0.508791,0.001000
3,0.593896,0.462207,0.001000
4,0.585806,0.571898,0.001000
5,0.600955,0.625960,0.001000
6,0.597752,0.644200,0.001000
7,0.578362,0.501667,0.001000
8,0.595348,0.525970,0.001000
9,0.593112,0.484893,0.001000
10,0.580393,0.604992,0.001000
11,0.586140,0.644048,0.001000
12,0.594917,0.654608,0.001000
13,0.589099,0.636873,0.000500
14,0.567524,0.629547,0.000500
15,0.564929,0.588925,0.000500
16,0.565493,0.583519,0.000500
17,0.563493,0.562702,0.000500
18,0.563892,0.536378,0.000500
19,0.560880,0.549212,0.000500
20,0.565138,0.622676,0.000500
21,0.562235,0.643139,0.000500
22,0.565237,0.670018,0.000500
23,0.561750,0.568563,0.000500
24,0.560666,0.627728,0.000500
25,0.560235,0.635105,0.000500
26,0.558193,0.571645,0.000500
27,0.559997,0.661227,0.000500
28,0.558537,0.601405,0.000500
29,0.557228,0.549970,0.000500
30,0.557334,0.644654,0.000500
31,0.557787,0.636975,0.000500
32,0.556576,0.546837,0.000500
33,0.555840,0.653294,0.000500
34,0.554026,0.601304,0.000500
35,0.556192,0.609539,0.000500
36,0.555556,0.474788,0.000500
37,0.553262,0.640006,0.000500
38,0.553807,0.670422,0.000500
39,0.552287,0.670069,0.000500
40,0.553895,0.652082,0.000500
41,0.554235,0.641320,0.000500
42,0.552204,0.653547,0.000500
43,0.552237,0.534105,0.000500
44,0.552472,0.637833,0.000500
45,0.552251,0.628234,0.000500
46,0.550969,0.616663,0.000500
47,0.549722,0.675121,0.000500
48,0.550702,0.648494,0.000500
49,0.553219,0.672494,0.000500
50,0.551196,0.642886,0.000500
